Datetime,Event ID,Label,Station,Sensor Type,Acoustic t1,Acoustic t2,Energy,Duration,Magnitude
2025-02-15 02:00:29.193000+00:00,163706,Acoustic,VPVF,acoustic,2025-02-15 02:00:29.193000+00:00,2025-02-15 02:00:43.638000+00:00,1405.907,14.445,2.109130917500981
2025-02-15 02:21:18.705000+00:00,163635,Eruption,VPVF,acoustic,2025-02-15 02:21:18.705000+00:00,2025-02-15 02:22:14.640000+00:00,4565.719,55.935,2.451871149966303
2025-02-15 03:08:26.328000+00:00,163707,Acoustic,VPVF,acoustic,2025-02-15 03:08:26.328000+00:00,2025-02-15 03:08:32.538000+00:00,15.491,6.21,0.7973532341408149
2025-02-15 03:32:16.990000+00:00,163708,Acoustic,VPVF,acoustic,2025-02-15 03:32:16.990000+00:00,2025-02-15 03:32:21.580000+00:00,19.685,4.59,0.8670707308145865
2025-02-15 03:35:51.058000+00:00,163709,Acoustic,VPVF,acoustic,2025-02-15 03:35:51.058000+00:00,2025-02-15 03:35:54.028000+00:00,11.762,2.97,0.7172223872942326
2025-02-15 03:36:00.990000+00:00,163710,Acoustic,VPVF,acoustic,2025-02-15 03:36:00.990000+00:00,2025-02-15 03:36:03.353000+00:00,13.687,2.363,0.7613265390613948
2025-02-15 03:40:56.058000+00:00,163711,Acoustic,VPVF,acoustic,2025-02-15 03:40:56.058000+00:00,2025-02-15 03:40:57.948000+00:00,10.18,1.89,0.6751910112604959
2025-02-15 03:45:15.788000+00:00,163712,Acoustic,VPVF,acoustic,2025-02-15 03:45:15.788000+00:00,2025-02-15 03:45:21.728000+00:00,8.907,5.94,0.6363200730515238
2025-02-15 03:49:52.260000+00:00,163713,Acoustic,VPVF,acoustic,2025-02-15 03:49:52.260000+00:00,2025-02-15 03:49:56.243000+00:00,11.593,3.983,0.7130112100293106
2025-02-15 03:56:59.395000+00:00,163714,Acoustic,VPVF,acoustic,2025-02-15 03:56:59.395000+00:00,2025-02-15 03:57:01.960000+00:00,3.755,2.565,0.3849886606979254
2025-02-15 03:57:14.463000+00:00,163715,Acoustic,VPVF,acoustic,2025-02-15 03:57:14.463000+00:00,2025-02-15 03:57:18.648000+00:00,21.077,4.185,0.8869518930031008
2025-02-15 03:58:53.193000+00:00,163716,Acoustic,VPVF,acoustic,2025-02-15 03:58:53.193000+00:00,2025-02-15 03:59:00.010000+00:00,17.619,6.817,0.8348074412269552
2025-02-15 04:02:18.193000+00:00,163717,Acoustic,VPVF,acoustic,2025-02-15 04:02:18.193000+00:00,2025-02-15 04:02:26.833000+00:00,21.299,8.64,0.8900006730770275
2025-02-15 04:08:53.990000+00:00,163718,Acoustic,VPVF,acoustic,2025-02-15 04:08:53.990000+00:00,2025-02-15 04:08:57.905000+00:00,4.103,3.915,0.4107780163678314
2025-02-15 04:10:24.108000+00:00,163719,Acoustic,VPVF,acoustic,2025-02-15 04:10:24.108000+00:00,2025-02-15 04:10:29.170000+00:00,66.786,5.062,1.222539240200191
2025-02-15 04:15:31.665000+00:00,163720,Acoustic,VPVF,acoustic,2025-02-15 04:15:31.665000+00:00,2025-02-15 04:15:36.795000+00:00,10.105,5.13,0.6730393329603864
2025-02-15 04:30:53.193000+00:00,163721,Acoustic,VPVF,acoustic,2025-02-15 04:30:53.193000+00:00,2025-02-15 04:30:59.268000+00:00,9.027,6.075,0.6402141064480278
2025-02-15 04:30:59.403000+00:00,163722,Acoustic,VPVF,acoustic,2025-02-15 04:30:59.403000+00:00,2025-02-15 04:31:02.913000+00:00,15.416,3.51,0.7959410401037557
2025-02-15 04:42:58.328000+00:00,163723,Acoustic,VPVF,acoustic,2025-02-15 04:42:58.328000+00:00,2025-02-15 04:43:02.648000+00:00,22.59,4.32,0.9071238747166432
2025-02-15 04:54:57.260000+00:00,163724,Acoustic,VPVF,acoustic,2025-02-15 04:54:57.260000+00:00,2025-02-15 04:54:59.555000+00:00,13.142,2.295,0.7495031801125128
2025-02-15 06:20:33.463000+00:00,163725,Acoustic,VPVF,acoustic,2025-02-15 06:20:33.463000+00:00,2025-02-15 06:20:40.213000+00:00,164.463,6.75,1.4847656993877132
2025-02-15 08:44:55.125000+00:00,163726,Acoustic,VPVF,acoustic,2025-02-15 08:44:55.125000+00:00,2025-02-15 08:45:01.605000+00:00,27.332,6.48,0.9625698460739354
2025-02-15 08:50:45.328000+00:00,163727,Acoustic,VPVF,acoustic,2025-02-15 08:50:45.328000+00:00,2025-02-15 08:50:52.348000+00:00,102.598,7.02,1.3474630595923194
2025-02-15 09:06:11.923000+00:00,163728,Acoustic,VPVF,acoustic,2025-02-15 09:06:11.923000+00:00,2025-02-15 09:06:19.550000+00:00,50.716,7.627,1.1424471454236165
2025-02-15 09:24:53.193000+00:00,163729,Acoustic,VPVF,acoustic,2025-02-15 09:24:53.193000+00:00,2025-02-15 09:25:00.348000+00:00,20.06,7.155,0.8725617222185477
2025-02-15 09:51:59.518000+00:00,163730,Acoustic,VPVF,acoustic,2025-02-15 09:51:59.518000+00:00,2025-02-15 09:52:05.323000+00:00,18.186,5.805,0.8440239151233482
2025-02-15 09:56:27.193000+00:00,163731,Acoustic,VPVF,acoustic,2025-02-15 09:56:27.193000+00:00,2025-02-15 09:56:31.310000+00:00,3.863,4.117,0.3932395544570296
2025-02-15 09:59:54.260000+00:00,163732,Acoustic,VPVF,acoustic,2025-02-15 09:59:54.260000+00:00,2025-02-15 10:00:00.943000+00:00,6.613,6.683,0.5496670102116678
2025-02-15 10:00:51.530000+00:00,163733,Acoustic,VPVF,acoustic,2025-02-15 10:00:51.530000+00:00,2025-02-15 10:00:57.200000+00:00,12.167,5.67,0.7270729503953618
2025-02-15 10:02:49.328000+00:00,163734,Acoustic,VPVF,acoustic,2025-02-15 10:02:49.328000+00:00,2025-02-15 10:02:55.335000+00:00,3.668,6.007,0.3781676490886489
2025-02-15 10:08:02.328000+00:00,163735,Acoustic,VPVF,acoustic,2025-02-15 10:08:02.328000+00:00,2025-02-15 10:08:09.820000+00:00,33.487,7.492,1.0216670822345375
2025-02-15 10:11:48.260000+00:00,163736,Acoustic,VPVF,acoustic,2025-02-15 10:11:48.260000+00:00,2025-02-15 10:11:53.728000+00:00,3.49,5.468,0.3636930360626506
2025-02-15 10:13:34.530000+00:00,163737,Acoustic,VPVF,acoustic,2025-02-15 10:13:34.530000+00:00,2025-02-15 10:13:41.078000+00:00,17.001,6.548,0.8244178931319762
2025-02-15 10:14:14.990000+00:00,163738,Acoustic,VPVF,acoustic,2025-02-15 10:14:14.990000+00:00,2025-02-15 10:14:20.998000+00:00,31.375,6.008,1.0027111021076935
2025-02-15 10:17:06.395000+00:00,163739,Acoustic,VPVF,acoustic,2025-02-15 10:17:06.395000+00:00,2025-02-15 10:17:15.508000+00:00,160.385,9.113,1.47745971147843
2025-02-15 10:17:29.260000+00:00,163740,Acoustic,VPVF,acoustic,2025-02-15 10:17:29.260000+00:00,2025-02-15 10:17:35.538000+00:00,10.134,6.278,0.6738732029696171
2025-02-15 10:18:23.800000+00:00,163741,Acoustic,VPVF,acoustic,2025-02-15 10:18:23.800000+00:00,2025-02-15 10:18:30.078000+00:00,5.227,6.278,0.4812291750654929
2025-02-15 10:20:47.463000+00:00,163742,Acoustic,VPVF,acoustic,2025-02-15 10:20:47.463000+00:00,2025-02-15 10:20:54.483000+00:00,9.845,7.02,0.6654545327176719
2025-02-15 10:24:22.395000+00:00,163743,Acoustic,VPVF,acoustic,2025-02-15 10:24:22.395000+00:00,2025-02-15 10:24:28.335000+00:00,4.989,5.94,0.4676690476392517
2025-02-15 10:38:50.463000+00:00,163744,Acoustic,VPVF,acoustic,2025-02-15 10:38:50.463000+00:00,2025-02-15 10:38:55.998000+00:00,5.526,5.535,0.49741528998893
2025-02-15 10:50:37.990000+00:00,163745,Acoustic,VPVF,acoustic,2025-02-15 10:50:37.990000+00:00,2025-02-15 10:50:44.673000+00:00,8.952,6.683,0.6377864492585967
