Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr,Rc,Rd,Ri,Hc,Hd,Hi
2024-09-19 16:26:04+00:00,85.0,115.0,143.0,0.4,0.9,1.5,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 16:26:44+00:00,142.0,166.0,194.0,0.8,1.1,1.3,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 16:40:04+00:00,46.0,115.0,168.0,0.1,0.3,0.6,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 17:00:04+00:00,120.0,130.0,134.0,0.8,0.9,0.9,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 17:20:04+00:00,219.0,237.0,256.0,0.6,0.7,0.8,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 17:40:04+00:00,174.0,264.0,344.0,0.1,0.5,0.9,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 18:00:04+00:00,190.0,203.0,227.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 18:20:04+00:00,148.0,199.0,242.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 18:40:04+00:00,101.0,134.0,160.0,0.3,1.2,2.0,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 19:00:04+00:00,5.0,349.0,322.0,0.8,1.4,1.7,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 19:20:04+00:00,112.0,275.0,209.0,0.3,0.5,0.8,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 19:40:04+00:00,209.0,216.0,223.0,1.0,1.2,1.5,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 20:00:04+00:00,108.0,17.0,326.0,0.4,0.7,1.0,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 20:20:04+00:00,164.0,209.0,225.0,0.6,0.9,1.1,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 20:40:04+00:00,109.0,120.0,163.0,0.8,0.9,1.1,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 21:00:04+00:00,81.0,126.0,153.0,1.3,2.0,2.6,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 21:20:04+00:00,24.0,59.0,125.0,0.6,1.2,1.8,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 21:40:04+00:00,19.0,50.0,81.0,0.3,0.5,0.7,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 22:00:04+00:00,24.0,44.0,76.0,0.9,1.8,2.4,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 22:20:04+00:00,124.0,134.0,150.0,1.6,1.9,2.1,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 22:40:04+00:00,107.0,115.0,136.0,1.0,1.1,1.2,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 23:00:04+00:00,122.0,238.0,345.0,0.2,0.5,1.1,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 23:20:04+00:00,29.0,54.0,110.0,1.2,1.9,2.5,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 23:40:04+00:00,223.0,250.0,336.0,0.1,0.2,0.4,VPMI.2024.263.0R1.csv,,,,,,,,,,,,,
2024-09-19 16:26:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,15.6,86.8,751.0,,,,,,,,,,
2024-09-19 16:26:46+00:00,,,,,,,VPMI.2024.263.0R2.csv,15.6,88.2,751.0,,,,,,,,,,
2024-09-19 16:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,15.6,89.4,751.0,,,,,,,,,,
2024-09-19 17:00:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,16.4,86.0,750.7,,,,,,,,,,
2024-09-19 17:20:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,18.7,75.9,750.5,,,,,,,,,,
2024-09-19 17:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,16.1,86.6,750.2,,,,,,,,,,
2024-09-19 18:00:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,18.5,82.3,749.9,,,,,,,,,,
2024-09-19 18:20:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,17.5,86.3,749.5,,,,,,,,,,
2024-09-19 18:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,17.5,86.5,749.5,,,,,,,,,,
2024-09-19 19:00:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,18.6,75.9,749.2,,,,,,,,,,
2024-09-19 19:20:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,16.3,91.3,748.9,,,,,,,,,,
2024-09-19 19:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,16.3,96.9,748.8,,,,,,,,,,
2024-09-19 20:00:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,15.5,100.0,748.5,,,,,,,,,,
2024-09-19 20:20:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,14.7,100.0,748.4,,,,,,,,,,
2024-09-19 20:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,13.8,100.0,748.1,,,,,,,,,,
2024-09-19 21:00:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,13.9,100.0,748.0,,,,,,,,,,
2024-09-19 21:20:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,13.5,100.0,748.1,,,,,,,,,,
2024-09-19 21:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,13.6,100.0,748.2,,,,,,,,,,
2024-09-19 22:00:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,13.2,100.0,747.8,,,,,,,,,,
2024-09-19 22:20:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,13.5,100.0,747.8,,,,,,,,,,
2024-09-19 22:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,12.9,100.0,748.1,,,,,,,,,,
2024-09-19 23:00:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,12.8,100.0,748.1,,,,,,,,,,
2024-09-19 23:20:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,12.0,100.0,748.3,,,,,,,,,,
2024-09-19 23:40:02+00:00,,,,,,,VPMI.2024.263.0R2.csv,12.3,100.0,748.8,,,,,,,,,,
2024-09-19 16:26:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,23.8,0.0,13.6,3.649,,,,,,
2024-09-19 16:26:55+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,23.6,0.0,13.6,3.647,,,,,,
2024-09-19 16:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,24.6,0.0,13.8,3.649,,,,,,
2024-09-19 17:00:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,27.8,0.0,14.6,3.65,,,,,,
2024-09-19 17:20:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,30.0,0.0,13.8,3.649,,,,,,
2024-09-19 17:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,26.4,0.0,14.5,3.649,,,,,,
2024-09-19 18:00:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,31.9,0.0,13.6,3.649,,,,,,
2024-09-19 18:20:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,27.5,0.0,14.6,3.649,,,,,,
2024-09-19 18:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,24.7,0.0,13.9,3.647,,,,,,
2024-09-19 19:00:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,33.9,0.0,14.6,3.649,,,,,,
2024-09-19 19:20:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,19.2,0.0,14.5,3.649,,,,,,
2024-09-19 19:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,20.0,0.0,14.5,3.649,,,,,,
2024-09-19 20:00:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,17.5,0.0,14.5,3.649,,,,,,
2024-09-19 20:20:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,16.1,0.0,13.3,3.649,,,,,,
2024-09-19 20:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,15.5,0.0,13.3,3.647,,,,,,
2024-09-19 21:00:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,14.9,0.0,13.1,3.649,,,,,,
2024-09-19 21:20:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,14.7,0.0,13.1,3.649,,,,,,
2024-09-19 21:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,14.7,0.0,13.0,3.649,,,,,,
2024-09-19 22:00:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,14.7,0.0,13.2,3.649,,,,,,
2024-09-19 22:20:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,14.4,0.0,13.0,3.649,,,,,,
2024-09-19 22:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,13.9,0.0,13.0,3.65,,,,,,
2024-09-19 23:00:11+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,13.6,0.0,13.0,3.649,,,,,,
2024-09-19 23:20:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,12.6,0.0,13.0,3.649,,,,,,
2024-09-19 23:40:10+00:00,,,,,,,VPMI.2024.263.0R5.csv,,,,12.9,0.0,13.0,3.647,,,,,,
2024-09-20 00:00:04+00:00,105.0,115.0,127.0,1.4,1.6,1.8,VPMI.2024.264.0R1.csv,,,,,,,,,,,,,
2024-09-20 00:20:04+00:00,32.0,86.0,107.0,0.6,0.9,1.1,VPMI.2024.264.0R1.csv,,,,,,,,,,,,,
2024-09-20 00:40:04+00:00,112.0,48.0,347.0,0.8,1.8,2.3,VPMI.2024.264.0R1.csv,,,,,,,,,,,,,
2024-09-20 01:00:04+00:00,111.0,125.0,136.0,0.8,1.2,1.6,VPMI.2024.264.0R1.csv,,,,,,,,,,,,,
2024-09-20 01:20:04+00:00,37.0,46.0,54.0,3.4,4.2,4.8,VPMI.2024.264.0R1.csv,,,,,,,,,,,,,
2024-09-20 01:40:04+00:00,61.0,76.0,89.0,2.4,2.8,3.1,VPMI.2024.264.0R1.csv,,,,,,,,,,,,,
