Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr
2024-09-19_162604,85.0,115.0,143.0,0.4,0.9,1.5,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_162604,85.0,115.0,143.0,0.4,0.9,1.5,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_162604,85.0,115.0,143.0,0.4,0.9,1.5,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_162644,142.0,166.0,194.0,0.8,1.1,1.3,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_162644,142.0,166.0,194.0,0.8,1.1,1.3,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_162644,142.0,166.0,194.0,0.8,1.1,1.3,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_164004,46.0,115.0,168.0,0.1,0.3,0.6,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_164004,46.0,115.0,168.0,0.1,0.3,0.6,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_164004,46.0,115.0,168.0,0.1,0.3,0.6,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_170004,120.0,130.0,134.0,0.8,0.9,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_170004,120.0,130.0,134.0,0.8,0.9,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_170004,120.0,130.0,134.0,0.8,0.9,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_172004,219.0,237.0,256.0,0.6,0.7,0.8,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_172004,219.0,237.0,256.0,0.6,0.7,0.8,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_172004,219.0,237.0,256.0,0.6,0.7,0.8,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_174004,174.0,264.0,344.0,0.1,0.5,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_174004,174.0,264.0,344.0,0.1,0.5,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_174004,174.0,264.0,344.0,0.1,0.5,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_180004,190.0,203.0,227.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_180004,190.0,203.0,227.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_180004,190.0,203.0,227.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_182004,148.0,199.0,242.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_182004,148.0,199.0,242.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_182004,148.0,199.0,242.0,0.7,0.8,0.9,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_184004,101.0,134.0,160.0,0.3,1.2,2.0,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_184004,101.0,134.0,160.0,0.3,1.2,2.0,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_184004,101.0,134.0,160.0,0.3,1.2,2.0,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_190004,5.0,349.0,322.0,0.8,1.4,1.7,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_190004,5.0,349.0,322.0,0.8,1.4,1.7,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_190004,5.0,349.0,322.0,0.8,1.4,1.7,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_192004,112.0,275.0,209.0,0.3,0.5,0.8,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_192004,112.0,275.0,209.0,0.3,0.5,0.8,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_192004,112.0,275.0,209.0,0.3,0.5,0.8,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_194004,209.0,216.0,223.0,1.0,1.2,1.5,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_194004,209.0,216.0,223.0,1.0,1.2,1.5,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_194004,209.0,216.0,223.0,1.0,1.2,1.5,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_200004,108.0,17.0,326.0,0.4,0.7,1.0,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_200004,108.0,17.0,326.0,0.4,0.7,1.0,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_200004,108.0,17.0,326.0,0.4,0.7,1.0,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_202004,164.0,209.0,225.0,0.6,0.9,1.1,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_202004,164.0,209.0,225.0,0.6,0.9,1.1,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_202004,164.0,209.0,225.0,0.6,0.9,1.1,VPMI.2024.263.0R1.csv,,,,,,,
2024-09-19_204004,109.0,120.0,163.0,0.8,0.9,1.1,VPMI.2024.263.0R1.csv,,,,,,,
