Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr,Rc,Rd,Ri,Hc,Hd,Hi
2025-01-01_080005,29.0,56.0,125.0,4.2,5.8,6.7,VPMI.2025.001.0R1.csv,,,,,,,,,,,,,
2025-01-01_082005,16.0,49.0,79.0,4.1,6.0,7.2,VPMI.2025.001.0R1.csv,,,,,,,,,,,,,
2025-01-01_214004,227.0,315.0,352.0,0.2,0.5,0.7,VPMI.2025.001.0R1.csv,,,,,,,,,,,,,
2025-01-01_220004,20.0,38.0,70.0,2.5,3.0,4.8,VPMI.2025.001.0R1.csv,,,,,,,,,,,,,
2025-01-01_222004,134.0,148.0,156.0,0.8,1.0,1.2,VPMI.2025.001.0R1.csv,,,,,,,,,,,,,
2025-01-01_224014,108.0,139.0,134.0,1.0,1.8,2.2,VPMI.2025.001.0R1.csv,,,,,,,,,,,,,
2025-01-01_080002,,,,,,,VPMI.2025.001.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-01_082002,,,,,,,VPMI.2025.001.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-01_214002,,,,,,,VPMI.2025.001.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-01_220002,,,,,,,VPMI.2025.001.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-01_222002,,,,,,,VPMI.2025.001.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-01_224016,,,,,,,VPMI.2025.001.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-01_080005,,,,,,,VPMI.2025.001.0R5.csv,,,,11.2,0.0,12.2,3.65,,,,,,
2025-01-01_082005,,,,,,,VPMI.2025.001.0R5.csv,,,,11.0,0.0,12.2,3.65,,,,,,
2025-01-01_214004,,,,,,,VPMI.2025.001.0R5.csv,,,,14.0,0.0,12.7,3.649,,,,,,
2025-01-01_220004,,,,,,,VPMI.2025.001.0R5.csv,,,,13.1,0.0,12.6,3.649,,,,,,
2025-01-01_222004,,,,,,,VPMI.2025.001.0R5.csv,,,,12.5,0.0,12.5,3.649,,,,,,
2025-01-01_224019,,,,,,,VPMI.2025.001.0R5.csv,,,,12.2,0.0,12.5,3.629,,,,,,
2025-01-02_082004,27.0,50.0,77.0,6.6,8.1,9.5,VPMI.2025.002.0R1.csv,,,,,,,,,,,,,
2025-01-02_224003,112.0,126.0,131.0,1.8,2.1,2.4,VPMI.2025.002.0R1.csv,,,,,,,,,,,,,
2025-01-02_230003,27.0,63.0,102.0,3.1,3.6,4.3,VPMI.2025.002.0R1.csv,,,,,,,,,,,,,
2025-01-02_082002,,,,,,,VPMI.2025.002.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-02_224002,,,,,,,VPMI.2025.002.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-02_230002,,,,,,,VPMI.2025.002.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-02_082003,,,,,,,VPMI.2025.002.0R5.csv,,,,10.2,0.0,12.2,3.65,,,,,,
2025-01-02_224003,,,,,,,VPMI.2025.002.0R5.csv,,,,13.3,0.0,12.7,3.649,,,,,,
2025-01-02_230003,,,,,,,VPMI.2025.002.0R5.csv,,,,11.4,0.0,12.6,3.65,,,,,,
2025-01-03_092003,28.0,49.0,70.0,2.0,4.8,7.3,VPMI.2025.003.0R1.csv,,,,,,,,,,,,,
2025-01-03_094003,37.0,62.0,77.0,3.7,5.8,7.5,VPMI.2025.003.0R1.csv,,,,,,,,,,,,,
2025-01-03_100003,48.0,69.0,95.0,2.7,4.0,4.6,VPMI.2025.003.0R1.csv,,,,,,,,,,,,,
2025-01-03_210003,21.0,59.0,117.0,1.6,2.3,2.9,VPMI.2025.003.0R1.csv,,,,,,,,,,,,,
2025-01-03_092002,,,,,,,VPMI.2025.003.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-03_094004,,,,,,,VPMI.2025.003.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-03_100004,,,,,,,VPMI.2025.003.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-03_210004,,,,,,,VPMI.2025.003.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-03_092002,,,,,,,VPMI.2025.003.0R5.csv,,,,9.3,0.0,12.3,3.649,,,,,,
2025-01-03_094002,,,,,,,VPMI.2025.003.0R5.csv,,,,9.8,0.0,12.2,3.65,,,,,,
2025-01-03_100002,,,,,,,VPMI.2025.003.0R5.csv,,,,9.6,0.0,12.2,3.649,,,,,,
2025-01-03_210017,,,,,,,VPMI.2025.003.0R5.csv,,,,13.5,0.0,13.1,3.649,,,,,,
2025-01-05_102006,68.0,98.0,138.0,2.0,3.1,4.0,VPMI.2025.005.0R1.csv,,,,,,,,,,,,,
2025-01-05_102002,,,,,,,VPMI.2025.005.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-05_102015,,,,,,,VPMI.2025.005.0R5.csv,,,,11.3,0.0,12.2,3.65,,,,,,
2025-01-08_184002,63.0,336.0,214.0,0.8,2.1,3.6,VPMI.2025.008.0R1.csv,,,,,,,,,,,,,
2025-01-08_184003,,,,,,,VPMI.2025.008.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-08_184009,,,,,,,VPMI.2025.008.0R5.csv,,,,14.0,0.0,12.8,3.649,,,,,,
2025-01-09_202005,68.0,316.0,281.0,0.8,2.2,3.0,VPMI.2025.009.0R1.csv,,,,,,,,,,,,,
2025-01-09_202002,,,,,,,VPMI.2025.009.0R2.csv,3.1,53.1,750.3,,,,,,,,,,
2025-01-09_202010,,,,,,,VPMI.2025.009.0R5.csv,,,,13.9,0.0,12.8,3.649,,,,,,
2025-01-10_134004,63.0,36.0,347.0,2.4,4.6,7.1,VPMI.2025.010.0R1.csv,,,,,,,,,,,,,
2025-01-10_140004,90.0,115.0,146.0,2.2,3.0,3.7,VPMI.2025.010.0R1.csv,,,,,,,,,,,,,
