,Erruption Activity,VPCC RSAM,VPPC RSAM,VPNC RSAM,VPRS RSAM,VPRS Field E,VPRS Field N,VPRS Field Z,CO2 Concentration
2025-01-22 00:00:00+00:00,0.0,22.75207167834121,553.2587257887192,205.80018790931115,70.38094092548732,-0.0079675,1.9832375,0.0287675,458.3575
2025-01-22 00:01:00+00:00,0.0,22.43568426133718,557.6238030292882,205.66956740939992,70.06973733087891,-0.0079825,1.9832375,0.0287675,459.395
2025-01-22 00:02:00+00:00,0.0,22.11929684433315,561.9888802698572,205.53894690948863,69.7585337362705,-0.0079925,1.98324,0.0287675,460.4325
2025-01-22 00:03:00+00:00,0.0,21.80290942732912,566.3539575104261,205.40832640957743,69.44733014166208,-0.00801,1.983245,0.0287675,461.7533333333334
2025-01-22 00:04:00+00:00,0.0,21.48652201032509,570.7190347509951,205.2777059096662,69.13612654705366,-0.008045,1.98324,0.0287675,462.0366666666667
2025-01-22 00:05:00+00:00,0.0,21.17013459332106,575.0841119915641,205.14708540975496,68.82492295244523,-0.008085,1.983235,0.02877,462.3200000000001
2025-01-22 00:06:00+00:00,0.0,20.853747176317032,579.449189232133,205.0164649098437,68.51371935783682,-0.00809,1.9832325,0.02877,462.60333333333335
2025-01-22 00:07:00+00:00,0.0,20.537359759313,583.814266472702,204.88584440993247,68.2025157632284,-0.0081125,1.983225,0.02877,462.8866666666667
2025-01-22 00:08:00+00:00,0.0,20.220972342308972,588.179343713271,204.7552239100212,67.89131216861998,-0.0081375,1.9832275,0.02877,463.17
2025-01-22 00:09:00+00:00,0.0,19.904584925304945,592.54442095384,204.62460341011,67.58010857401156,-0.0081625,1.9832275,0.02877,463.4533333333334
2025-01-22 00:10:00+00:00,0.0,19.58819750830091,596.909498194409,204.49398291019875,67.26890497940315,-0.0081525,1.98323,0.02877,463.7366666666667
2025-01-22 00:11:00+00:00,0.0,19.00872969650689,601.2745754349779,204.3633624102875,67.26209021086483,-0.008165,1.9832275,0.02877,464.02
2025-01-22 00:12:00+00:00,0.0,18.429261884712865,605.6396526755469,204.23274191037623,67.25527544232651,-0.00817,1.983225,0.02877,464.30333333333334
2025-01-22 00:13:00+00:00,0.0,17.849794072918844,610.0047299161159,204.102121410465,67.24846067378819,-0.0081775,1.983225,0.02877,464.5866666666667
